itemname,key,delay,value_type,description,application,discovery_rule,template,units
Total swap space,"system.swap.size[,total]",1h,3,,Memory,,Template OS Solaris,B
System information,system.uname,1h,1,The information as normally returned by 'uname -a'.,General,,Template OS Solaris,
System uptime,system.uptime,10m,3,,General,,Template OS Solaris,uptime
Number of logged in users,system.users.num,1m,3,Number of users who are currently logged in.,OS,,Template OS Solaris,
Checksum of /etc/passwd,vfs.file.cksum[/etc/passwd],1h,3,,Security,,Template OS Solaris,
Available memory,vm.memory.size[available],1m,3,Available memory is defined as free+cached+buffers memory.,Memory,,Template OS Solaris,B
Total memory,vm.memory.size[total],1h,3,,Memory,,Template OS Solaris,B
File read bytes per second,perf_counter[\2\16],1m,0,Full counter name: \System\File Read Bytes/sec,Filesystems,,Template OS Windows,Bps
File write bytes per second,perf_counter[\2\18],1m,0,Full counter name: \System\File Write Bytes/sec,Filesystems,,Template OS Windows,Bps
Number of threads,perf_counter[\2\250],1m,3,Full counter name: \System\Threads,OS,,Template OS Windows,
Average disk read queue length,perf_counter[\234(_Total)\1402],1m,0,Full counter name: \PhysicalDisk(_Total)\Avg. Disk Read Queue Length,Filesystems,,Template OS Windows,
Average disk write queue length,perf_counter[\234(_Total)\1404],1m,0,Full counter name: \PhysicalDisk(_Total)\Avg. Disk Write Queue Length,Filesystems,,Template OS Windows,
Number of processes,proc.num[],1m,3,,Processes,,Template OS Windows,
Processor load (1 min average),"system.cpu.load[percpu,avg1]",1m,0,,CPU,,Template OS Windows,
Processor load (5 min average),"system.cpu.load[percpu,avg5]",1m,0,,CPU,,Template OS Windows,
Processor load (15 min average),"system.cpu.load[percpu,avg15]",1m,0,,CPU,,Template OS Windows,
Free swap space,"system.swap.size[,free]",1m,3,,Memory,,Template OS Windows,B
Total swap space,"system.swap.size[,total]",1h,3,,Memory,,Template OS Windows,B
System information,system.uname,1h,1,,General,,Template OS Windows,
System uptime,system.uptime,1m,3,,General,,Template OS Windows,uptime
Free memory,vm.memory.size[free],1m,3,,Memory,,Template OS Windows,B
Total memory,vm.memory.size[total],1h,3,,Memory,,Template OS Windows,B
"Free virtual memory, in %",vm.vmemory.size[pavailable],1m,0,,Memory,,Template OS Windows,%
Firmware version,system.hw.firmware,1h,1,"MIB: IDRAC-MIB-SMIv2
This attribute defines the firmware version of a remote access card.",Inventory,,Template Server Dell iDRAC SNMPv2,
Hardware model name,system.hw.model,1h,1,"MIB: IDRAC-MIB-SMIv2
This attribute defines the model name of the system.",Inventory,,Template Server Dell iDRAC SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,"MIB: IDRAC-MIB-SMIv2
This attribute defines the service tag of the system.",Inventory,,Template Server Dell iDRAC SNMPv2,
Overall system health status,system.status[globalSystemStatus.0],30s,3,"MIB: IDRAC-MIB-SMIv2
This attribute defines the overall rollup status of all components in the system being monitored by the remote access card. Includes system, storage, IO devices, iDRAC, CPU, memory, etc.",Status,,Template Server Dell iDRAC SNMPv2,
Operating system,system.sw.os,1h,1,"MIB: IDRAC-MIB-SMIv2
This attribute defines the name of the operating system that the hostis running.",Inventory,,Template Server Dell iDRAC SNMPv2,
System: Temperature status,sensor.temp.status[cpqHeThermalCondition.0],3m,3,"MIB: CPQHLTH-MIB
This value specifies the overall condition of the system's thermal environment.
This value will be one of the following:
other(1)  Temperature could not be determined.
ok(2)  The temperature sensor is within normal operating range.
degraded(3)  The temperature sensor is outside of normal operating range.
failed(4)  The temperature sensor detects a condition that could  permanently damage the system.",Temperature,,Template Server HP iLO SNMPv2,
Hardware model name,system.hw.model,1h,1,"MIB: CPQSINFO-MIB
The machine product name.The name of the machine used in this system.",Inventory,,Template Server HP iLO SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,"MIB: CPQSINFO-MIB
The serial number of the physical system unit. The string will be empty if the system does not report the serial number function.",Inventory,,Template Server HP iLO SNMPv2,
Overall system health status,system.status[cpqSiMibCondition.0],30s,3,"MIB: CPQSINFO-MIB
The overall condition. This object represents the overall status of the server information represented by this MIB.",Status,,Template Server HP iLO SNMPv2,
Hardware model name,system.hw.model,1h,1,MIB: IMM-MIB,Inventory,,Template Server IBM IMM SNMPv1,
Hardware serial number,system.hw.serialnumber,1h,1,"MIB: IMM-MIB
Machine serial number VPD information",Inventory,,Template Server IBM IMM SNMPv1,
Overall system health status,system.status[systemHealthStat.0],30s,3,"MIB: IMM-MIB
Indicates status of system health for the system in which the IMM resides. Value of 'nonRecoverable' indicates a severe error has occurred and the system may not be functioning. A value of 'critical' indicates that a error has occurred but the system is currently functioning properly. A value of 'nonCritical' indicates that a condition has occurred that may change the state of the system in the future but currently the system is working properly. A value of 'normal' indicates that the system is operating normally.",Status,,Template Server IBM IMM SNMPv1,
Hardware model name,system.hw.model,1h,1,MIB: IMM-MIB,Inventory,,Template Server IBM IMM SNMPv2,
Hardware serial number,system.hw.serialnumber,1h,1,"MIB: IMM-MIB
Machine serial number VPD information",Inventory,,Template Server IBM IMM SNMPv2,
Overall system health status,system.status[systemHealthStat.0],30s,3,"MIB: IMM-MIB
Indicates status of system health for the system in which the IMM resides. Value of 'nonRecoverable' indicates a severe error has occurred and the system may not be functioning. A value of 'critical' indicates that a error has occurred but the system is currently functioning properly. A value of 'nonCritical' indicates that a condition has occurred that may change the state of the system in the future but currently the system is working properly. A value of 'normal' indicates that the system is operating normally.",Status,,Template Server IBM IMM SNMPv2,
BB +1.8V SM,bb_1.8v_sm,1m,0,,Voltage,,Template Server Intel SR1530 IPMI,V
BB +3.3V,bb_3.3v,1m,0,,Voltage,,Template Server Intel SR1530 IPMI,V
BB +3.3V STBY,bb_3.3v_stby,1m,0,,Voltage,,Template Server Intel SR1530 IPMI,V
BB +5.0V,bb_5.0v,1m,0,,Voltage,,Template Server Intel SR1530 IPMI,V
BB Ambient Temp,bb_ambient_temp,1m,0,,Temperature,,Template Server Intel SR1530 IPMI,C
Power,power,1m,3,,Voltage,,Template Server Intel SR1530 IPMI,
Processor Vcc,processor_vcc,1m,0,,Voltage,,Template Server Intel SR1530 IPMI,V
System Fan 3,system_fan_3,1m,0,,Fans,,Template Server Intel SR1530 IPMI,RPM
Baseboard Temp,baseboard_temp,1m,0,,Temperature,,Template Server Intel SR1630 IPMI,C
BB +1.05V PCH,bb_1.05v_pch,1m,0,,Voltage,,Template Server Intel SR1630 IPMI,V
BB +1.1V P1 Vccp,bb_1.1v_p1_vccp,1m,0,,Voltage,,Template Server Intel SR1630 IPMI,V
BB +1.5V P1 DDR3,bb_1.5v_p1_ddr3,1m,0,,Voltage,,Template Server Intel SR1630 IPMI,V
BB +3.3V,bb_3.3v,1m,0,,Voltage,,Template Server Intel SR1630 IPMI,V
BB +3.3V STBY,bb_3.3v_stby,1m,0,,Voltage,,Template Server Intel SR1630 IPMI,V
BB +5.0V,bb_5.0v,1m,0,,Voltage,,Template Server Intel SR1630 IPMI,V
Front Panel Temp,front_panel_temp,1m,0,,Temperature,,Template Server Intel SR1630 IPMI,C
Power,power,1m,3,,Voltage,,Template Server Intel SR1630 IPMI,
System Fan 2,system_fan_2,1m,0,,Fans,,Template Server Intel SR1630 IPMI,RPM
System Fan 3,system_fan_3,1m,0,,Fans,,Template Server Intel SR1630 IPMI,RPM
Event log,vmware.eventlog[{$URL}],1m,2,,Log,,Template VM VMware,
Full name,vmware.fullname[{$URL}],1h,1,,General,,Template VM VMware,
Version,vmware.version[{$URL}],1h,1,,General,,Template VM VMware,
Cluster name,"vmware.vm.cluster.name[{$URL},{HOST.HOST}]",1h,1,Cluster name of the guest VM.,General,,Template VM VMware Guest,
Number of virtual CPUs,"vmware.vm.cpu.num[{$URL},{HOST.HOST}]",1m,3,Number of virtual CPUs assigned to the guest.,CPU,,Template VM VMware Guest,
CPU ready,"vmware.vm.cpu.ready[{$URL},{HOST.HOST}]",1m,3,"Time that the virtual machine was ready, but could not get scheduled to run on the physical CPU during last measurement interval (VMware vCenter/ESXi Server performance counter sampling interval - 20 seconds)",CPU,,Template VM VMware Guest,ms
CPU usage,"vmware.vm.cpu.usage[{$URL},{HOST.HOST}]",1m,3,"Current upper-bound on CPU usage. The upper-bound is based on the host the virtual machine is current running on, as well as limits configured on the virtual machine itself or any parent resource pool. Valid while the virtual machine is running.",CPU,,Template VM VMware Guest,Hz
Datacenter name,"vmware.vm.datacenter.name[{$URL},{HOST.HOST}]",1m,1,Datacenter name of the guest VM.,General,,Template VM VMware Guest,
Hypervisor name,"vmware.vm.hv.name[{$URL},{HOST.HOST}]",1h,1,Hypervisor name of the guest VM.,General,,Template VM VMware Guest,
Ballooned memory,"vmware.vm.memory.size.ballooned[{$URL},{HOST.HOST}]",1m,3,The amount of guest physical memory that is currently reclaimed through the balloon driver.,Memory,,Template VM VMware Guest,B
Compressed memory,"vmware.vm.memory.size.compressed[{$URL},{HOST.HOST}]",1m,3,The amount of memory currently in the compression cache for this VM.,Memory,,Template VM VMware Guest,B
Private memory,"vmware.vm.memory.size.private[{$URL},{HOST.HOST}]",1m,3,Amount of memory backed by host memory and not being shared.,Memory,,Template VM VMware Guest,B
Shared memory,"vmware.vm.memory.size.shared[{$URL},{HOST.HOST}]",1m,3,The amount of guest physical memory shared through transparent page sharing.,Memory,,Template VM VMware Guest,B
Swapped memory,"vmware.vm.memory.size.swapped[{$URL},{HOST.HOST}]",1m,3,The amount of guest physical memory swapped out to the VM's swap device by ESX.,Memory,,Template VM VMware Guest,B
Guest memory usage,"vmware.vm.memory.size.usage.guest[{$URL},{HOST.HOST}]",1m,3,The amount of guest physical memory that is being used by the VM.,Memory,,Template VM VMware Guest,B
Host memory usage,"vmware.vm.memory.size.usage.host[{$URL},{HOST.HOST}]",1m,3,"The amount of host physical memory allocated to the VM, accounting for saving from memory sharing with other VMs.",Memory,,Template VM VMware Guest,B
Memory size,"vmware.vm.memory.size[{$URL},{HOST.HOST}]",1m,3,Total size of configured memory.,Memory,,Template VM VMware Guest,B
Power state,"vmware.vm.powerstate[{$URL},{HOST.HOST}]",1m,3,The current power state of the virtual machine.,General,,Template VM VMware Guest,
Committed storage space,"vmware.vm.storage.committed[{$URL},{HOST.HOST}]",1m,3,"Total storage space, in bytes, committed to this virtual machine across all datastores.",Storage,,Template VM VMware Guest,B
Uncommitted storage space,"vmware.vm.storage.uncommitted[{$URL},{HOST.HOST}]",1m,3,"Additional storage space, in bytes, potentially used by this virtual machine on all datastores.",Storage,,Template VM VMware Guest,B
Unshared storage space,"vmware.vm.storage.unshared[{$URL},{HOST.HOST}]",1m,3,"Total storage space, in bytes, occupied by the virtual machine across all datastores, that is not shared with any other virtual machine.",Storage,,Template VM VMware Guest,B
Uptime,"vmware.vm.uptime[{$URL},{HOST.HOST}]",1m,3,System uptime.,General,,Template VM VMware Guest,uptime
Cluster name,"vmware.hv.cluster.name[{$URL},{HOST.HOST}]",1h,1,Cluster name of the guest VM.,General,,Template VM VMware Hypervisor,
CPU usage,"vmware.hv.cpu.usage[{$URL},{HOST.HOST}]",1m,3,Aggregated CPU usage across all cores on the host in Hz. This is only available if the host is connected.,CPU,,Template VM VMware Hypervisor,Hz
Datacenter name,"vmware.hv.datacenter.name[{$URL},{HOST.HOST}]",1m,1,Datacenter name of the hypervisor.,General,,Template VM VMware Hypervisor,
Full name,"vmware.hv.fullname[{$URL},{HOST.HOST}]",1h,1,"The complete product name, including the version information.",General,,Template VM VMware Hypervisor,
CPU frequency,"vmware.hv.hw.cpu.freq[{$URL},{HOST.HOST}]",1h,3,The speed of the CPU cores. This is an average value if there are multiple speeds. The product of CPU frequency and number of cores is approximately equal to the sum of the MHz for all the individual cores on the host.,CPU,,Template VM VMware Hypervisor,Hz
CPU model,"vmware.hv.hw.cpu.model[{$URL},{HOST.HOST}]",1h,1,The CPU model.,CPU,,Template VM VMware Hypervisor,
CPU cores,"vmware.hv.hw.cpu.num[{$URL},{HOST.HOST}]",1h,3,Number of physical CPU cores on the host. Physical CPU cores are the processors contained by a CPU package.,CPU,,Template VM VMware Hypervisor,
CPU threads,"vmware.hv.hw.cpu.threads[{$URL},{HOST.HOST}]",1h,3,Number of physical CPU threads on the host.,CPU,,Template VM VMware Hypervisor,
Total memory,"vmware.hv.hw.memory[{$URL},{HOST.HOST}]",1h,3,The physical memory size.,Hardware,,Template VM VMware Hypervisor,B
Model,"vmware.hv.hw.model[{$URL},{HOST.HOST}]",1h,1,The system model identification.,Hardware,,Template VM VMware Hypervisor,
Bios UUID,"vmware.hv.hw.uuid[{$URL},{HOST.HOST}]",1h,1,The hardware BIOS identification.,Hardware,,Template VM VMware Hypervisor,
Vendor,"vmware.hv.hw.vendor[{$URL},{HOST.HOST}]",1h,1,The hardware vendor identification.,Hardware,,Template VM VMware Hypervisor,
Ballooned memory,"vmware.hv.memory.size.ballooned[{$URL},{HOST.HOST}]",1m,3,The amount of guest physical memory that is currently reclaimed through the balloon driver. Sum of all guest VMs.,Memory,,Template VM VMware Hypervisor,B
Used memory,"vmware.hv.memory.used[{$URL},{HOST.HOST}]",1m,3,Physical memory usage on the host.,Memory,,Template VM VMware Hypervisor,B
Number of bytes received,"vmware.hv.network.in[{$URL},{HOST.HOST},bps]",1m,3,,Network,,Template VM VMware Hypervisor,Bps
Number of bytes transmitted,"vmware.hv.network.out[{$URL},{HOST.HOST},bps]",1m,3,,Network,,Template VM VMware Hypervisor,Bps
Health state rollup,"vmware.hv.sensor.health.state[{$URL},{HOST.HOST}]",1m,3,"The host health state rollup sensor value: gray - unknown, ok, red - it has a problem, yellow - it might have a problem.",General,,Template VM VMware Hypervisor,
Overall status,"vmware.hv.status[{$URL},{HOST.HOST}]",1m,3,"The overall alarm status of the host: gray - unknown, ok, red - it has a problem, yellow - it might have a problem.",General,,Template VM VMware Hypervisor,
